545	MJMPCC_DSZNOP_CONDNE
554	FANDMJMPCC_DSZ32_CONDE
555	FANDMJMPCC_DSZ32_CONDNE
560	STD_DSZ32
570	BSF_DSZ32
574	SHLOR_DSZ32
575	SHROR_DSZ32
578	MUL_DSZ32
57c	COMPUTESYSFLAGS_DSZ32
57d	PDEP_DSZ32
57f	PEXT_DSZ32
58d	DEC_DSZ32
590	ANDOR_DSZ32
592	BTMERGEFLAGS_DSZ32
597	BTC_DSZ32
59b	BTS_DSZ32
59c	BT_DSZ32
59e	BTR_DSZ32
5d4	FSUBMJMPCC_DSZ32_CONDE
5d5	FSUBMJMPCC_DSZ32_CONDNE
5f8	FSCPRD_DSZ32
5f9	FSCPXCHG_DSZ32
5fa	FSCPOR_DSZ32
5fb	FSCPANDNOT_DSZ32
600	ZEROEXT_DSZ64
608	ADD_DSZ64
609	OR_DSZ64
60c	AND_DSZ64
60d	SUB_DSZ64
60e	XOR_DSZ64
614	SHL_DSZ64
615	SHR_DSZ64
620	MOVETOCREG_DSZ64
621	MOVEFROMCREG_DSZ64
622	CREGRMWANDNOT_DSZ64
623	CREGRMWOR_DSZ64
624	CREGXCHG_DSZ64
628	MOVETOCREGOT_DSZ64
62b	CREGRMWOROT_DSZ64
630	NOTAND_DSZ64
631	ANDNEG_DSZ64
632	SUB1AND_DSZ64
660	STD_DSZ64
670	BSF_DSZ64
671	BSR_DSZ64
674	SHLOR_DSZ64
675	SHROR_DSZ64
678	MUL_DSZ64
67c	COMPUTESYSFLAGS_DSZ64
67d	PDEP_DSZ64
67e	POPCNT_DSZ64
67f	PEXT_DSZ64
688	INC_DSZ64
692	BTMERGEFLAGS_DSZ64
697	BTC_DSZ64
69b	BTS_DSZ64
69c	BT_DSZ64
69e	BTR_DSZ64
6d4	FSUBMJMPCC_DSZ64_CONDE
6d5	FSUBMJMPCC_DSZ64_CONDNE
6f1	MUL64L_DSZ64
6f3	IMUL64L_DSZ64
6f8	FSCPRD_DSZ64
6f9	FSCPXCHG_DSZ64
6fa	FSCPOR_DSZ64
6fb	FSCPANDNOT_DSZ64
700	ZEROEXT_DSZ8
709	OR_DSZ8
70c	AND_DSZ8
70d	SUB_DSZ8
70f	SUBR_DSZ8
714	SHL_DSZ8
736	CONCAT_DSZ8
760	STD_DSZ8
788	INC_DSZ8
790	ANDOR_DSZ8
801	LWSI_DSZ16_ASZ16_SC1_RL
802	LDZX_DSZ16_ASZ16_SC1
840	LWSI_DSZ16_ASZ32_SC1_RE
842	LDZX_DSZ16_ASZ32_SC1
847	LDHINT_BUFFER_ASZ32_SC1
872	LDZX_DSZ16_ASZ32_SC8
882	LDZX_DSZ16_ASZ64_SC1
884	LDPPHYS_DSZ16_ASZ64_SC1
894	LDPPHYS_DSZ16_ASZ64_SC2
8a4	LDPPHYS_DSZ16_ASZ64_SC4
902	LDZX_DSZ32_ASZ16_SC1
940	LWSI_DSZ32_ASZ32_SC1_RE
941	LWSI_DSZ32_ASZ32_SC1_RL
